1:0.162025 2:0.244816 3:-0.063432 4:0.22909 5:0.088733 6:0.320458 7:0.109899 8:-0.36707 9:-0.151264 10:0.01776 11:0.049245 12:0.178298 13:0.051138
1:0.176518 2:0.230833 3:-0.074444 4:0.235664 5:0.090814 6:0.302706 7:0.050858 8:-0.357641 9:-0.135944 10:-0.014998 11:0.060975 12:0.152896 13:0.013309
1:0.144618 2:0.175212 3:-0.070731 4:0.195829 5:-0.012335 6:0.194429 7:-0.009345 8:-0.294695 9:-0.088271 10:-0.063449 11:0.062524 12:0.096361 13:0.001921
1:0.088648 2:0.099806 3:-0.048887 4:0.107824 5:-0.118432 6:0.02955 7:-0.088099 8:-0.193068 9:-0.027702 10:-0.096981 11:0.058116 12:0.042737 13:0.015308
1:0.095227 2:0.070142 3:-0.093292 4:0.062124 5:-0.120452 6:-0.108994 7:-0.144272 8:-0.096638 9:-0.046304 10:-0.050336 11:0.101375 12:0.053531 13:0.035555
1:0.168244 2:0.120412 3:-0.159797 4:0.118846 5:-0.030747 6:-0.120222 7:-0.07011 8:-0.039752 9:-0.144788 10:0.061307 11:0.168549 12:0.108981 13:0.04269
1:0.236542 2:0.204905 3:-0.183357 4:0.215551 5:0.029684 6:-0.045079 7:0.100834 8:-0.06352 9:-0.231946 10:0.136733 11:0.203792 12:0.163529 13:0.058998
1:0.254865 2:0.256365 3:-0.161564 4:0.292949 5:0.039528 6:0.04903 7:0.266524 8:-0.134928 9:-0.234885 10:0.115876 11:0.191554 12:0.212668 13:0.078284
1:-0.267053 2:-0.452693 3:0.002202 4:-0.381564 5:-0.03971 6:-0.533613 7:-0.349931 8:0.694256 9:0.180507 10:0.076821 11:0.10883 12:-0.289082 13:-0.077638
1:-0.1467 2:-0.337517 3:-0.10182 4:-0.314577 5:-0.012487 6:-0.501453 7:-0.336554 8:0.692402 9:0.047074 10:0.177364 11:0.190753 12:-0.225242 13:-0.105333
1:0.116078 2:0.213906 3:-0.05913 4:0.251525 5:0.037447 6:0.306418 7:0.1913 8:-0.415023 9:-0.177996 10:-0.040888 11:0.027361 12:0.24052 13:0.074835
1:0.163053 2:0.25996 3:-0.06945 4:0.265382 5:0.074878 6:0.350798 7:0.146197 8:-0.475644 9:-0.182447 10:-0.050672 11:0.03332 12:0.249049 13:0.077167
1:0.18493 2:0.274282 3:-0.069835 4:0.263549 5:0.055023 6:0.36561 7:0.100232 8:-0.504923 9:-0.167868 10:-0.078498 11:0.022872 12:0.22122 13:0.080107
1:0.175046 2:0.253563 3:-0.065814 4:0.231705 5:-0.049129 6:0.288794 7:0.042816 8:-0.477342 9:-0.130095 10:-0.124111 11:0.017261 12:0.165262 13:0.075423
1:0.163775 2:0.223983 3:-0.07301 4:0.181532 5:-0.147523 6:0.129429 7:-0.028257 8:-0.393397 9:-0.103049 10:-0.138231 11:0.041442 12:0.130615 13:0.06425
1:0.226436 2:0.246345 3:-0.150527 4:0.184465 5:-0.116791 6:-0.004319 7:-0.064616 8:-0.276673 9:-0.169637 10:-0.035519 11:0.129698 12:0.172774 13:0.046865
1:0.340015 2:0.332196 3:-0.24702 4:0.263598 5:0.003889 6:-0.008417 7:-0.003229 8:-0.202549 9:-0.302899 10:0.120316 11:0.229069 12:0.248448 13:0.035947
1:0.417946 2:0.424076 3:-0.285023 4:0.361646 5:0.0937 6:0.072975 7:0.135588 8:-0.217776 9:-0.399158 10:0.204339 11:0.274974 12:0.301817 13:0.046238
1:0.422027 2:0.467582 3:-0.252398 4:0.43115 5:0.133577 6:0.168793 7:0.281284 8:-0.292318 9:-0.398845 10:0.177932 11:0.248628 12:0.338244 13:0.067328
1:0.370138 2:0.452212 3:-0.181386 4:0.437211 5:0.154921 6:0.207789 7:0.333707 8:-0.33544 9:-0.328605 10:0.102789 11:0.183271 12:0.345109 13:0.089241
1:0.306477 2:0.417056 3:-0.114829 4:0.415045 5:0.168852 6:0.201044 7:0.325584 8:-0.357145 9:-0.263956 10:0.052556 11:0.127854 12:0.317419 13:0.112154
1:0.247314 2:0.380542 3:-0.061589 4:0.391364 5:0.146232 6:0.22034 7:0.32035 8:-0.387181 9:-0.235997 10:0.020522 11:0.066185 12:0.295484 13:0.123091
1:0.190316 2:0.346264 3:-0.002919 4:0.358811 5:0.068862 6:0.322222 7:0.333807 8:-0.438869 9:-0.22236 10:-0.038126 11:-0.03674 12:0.302927 13:0.099747
1:-0.581859 2:-0.666684 3:0.28213 4:-0.466929 5:-0.153615 6:-0.436895 7:-0.233314 8:0.58051 9:0.478842 10:-0.172149 11:-0.139771 12:-0.471148 13:-0.068073
1:-0.573114 2:-0.695585 3:0.248557 4:-0.484207 5:-0.153159 6:-0.478243 7:-0.279981 8:0.644187 9:0.479127 10:-0.164689 11:-0.117113 12:-0.468513 13:-0.079108
1:-0.508981 2:-0.669119 3:0.175726 4:-0.473234 5:-0.132164 6:-0.521925 7:-0.328633 8:0.702771 9:0.421754 10:-0.106041 11:-0.055444 12:-0.433912 13:-0.07754
1:-0.361476 2:-0.54865 3:0.04356 4:-0.410402 5:-0.082048 6:-0.540578 7:-0.351996 8:0.727662 9:0.267095 10:0.016262 11:0.067281 12:-0.348969 13:-0.075442
1:-0.185208 2:-0.383684 3:-0.107223 4:-0.307465 5:-0.033132 6:-0.502666 7:-0.333526 8:0.706793 9:0.076374 10:0.149924 11:0.195108 12:-0.242647 13:-0.086399
1:0.014825 2:-0.186336 3:-0.252168 4:-0.178306 5:0.01428 6:-0.413427 7:-0.291733 8:0.621568 9:-0.132577 10:0.273518 11:0.304579 12:-0.106507 13:-0.089025
1:0.260668 2:0.317647 3:-0.187557 4:0.328385 5:0.083643 6:0.287967 7:0.16196 8:-0.437302 9:-0.314996 10:0.025917 11:0.143512 12:0.311178 13:0.066857
1:0.284905 2:0.3652 3:-0.165201 4:0.326283 5:0.092059 6:0.359068 7:0.151492 8:-0.524616 9:-0.306237 10:0.00333 11:0.102577 12:0.324469 13:0.102119
1:0.295538 2:0.393987 3:-0.12794 4:0.311986 5:0.069637 6:0.412288 7:0.133743 8:-0.593334 9:-0.284783 10:-0.030847 11:0.049432 12:0.304614 13:0.135243
1:0.2949 2:0.403498 3:-0.108452 4:0.300085 5:-0.010831 6:0.388894 7:0.110099 8:-0.612192 9:-0.259934 10:-0.075633 11:0.027628 12:0.270776 13:0.141261
1:0.315805 2:0.419236 3:-0.134138 4:0.303555 5:-0.086773 6:0.281333 7:0.085031 8:-0.57001 9:-0.269063 10:-0.076975 11:0.069284 12:0.269528 13:0.115976
1:0.403065 2:0.474942 3:-0.230349 4:0.34449 5:-0.049372 6:0.174398 7:0.074021 8:-0.472797 9:-0.359046 10:0.040785 11:0.178542 12:0.32856 13:0.079617
1:0.503345 2:0.550914 3:-0.32149 4:0.408398 5:0.063302 6:0.161883 7:0.100633 8:-0.394834 9:-0.470853 10:0.187379 11:0.272863 12:0.386691 13:0.0589
1:0.543185 2:0.602091 3:-0.340107 4:0.466147 5:0.14652 6:0.219513 7:0.169962 8:-0.395826 9:-0.521921 10:0.237948 11:0.294533 12:0.406892 13:0.058762
1:0.509286 2:0.605629 3:-0.282539 4:0.49716 5:0.184104 6:0.291459 7:0.256978 8:-0.454149 9:-0.489112 10:0.189264 11:0.239997 12:0.409804 13:0.072228
1:0.4406 2:0.57755 3:-0.191117 4:0.494129 5:0.198277 6:0.334755 7:0.305811 8:-0.503043 9:-0.416761 10:0.111772 11:0.153345 12:0.406545 13:0.090103
1:0.366501 2:0.534242 3:-0.109861 4:0.47993 5:0.189679 6:0.348667 7:0.318204 8:-0.531642 9:-0.348404 10:0.041017 11:0.076793 12:0.391059 13:0.103099
1:0.29093 2:0.47296 3:-0.050833 4:0.454856 5:0.141082 6:0.359619 7:0.319267 8:-0.542978 9:-0.291858 10:-0.026614 11:0.005157 12:0.370765 13:0.103079
1:0.228546 2:0.405904 3:-0.018976 4:0.407396 5:0.059307 6:0.391981 7:0.319608 8:-0.542377 9:-0.240163 10:-0.088721 11:-0.05881 12:0.350079 13:0.090378
1:0.183597 2:0.341763 3:-0.009014 4:0.345517 5:-0.020204 6:0.419106 7:0.314755 8:-0.535168 9:-0.16901 10:-0.144168 11:-0.098409 12:0.31201 13:0.07409
1:0.148394 2:0.285916 3:-0.016569 4:0.274717 5:-0.076367 6:0.403154 7:0.27607 8:-0.513516 9:-0.080511 10:-0.193884 11:-0.123713 12:0.252747 13:0.049726
1:-0.725255 2:-0.65556 3:0.490942 4:-0.440119 5:-0.232063 6:-0.361825 7:-0.093735 8:0.38308 9:0.599265 10:-0.307257 11:-0.392327 12:-0.447387 13:0.058645
1:-0.701407 2:-0.686781 3:0.425845 4:-0.451435 5:-0.227551 6:-0.406664 7:-0.151351 8:0.455846 9:0.577782 10:-0.265852 11:-0.30995 12:-0.477111 13:0.027068
1:-0.652183 2:-0.720465 3:0.326432 4:-0.473918 5:-0.21204 6:-0.453783 7:-0.230466 8:0.564134 9:0.537698 10:-0.218639 11:-0.200719 12:-0.493152 13:-0.032772
1:-0.601793 2:-0.732014 3:0.244459 4:-0.480175 5:-0.200951 6:-0.490813 7:-0.293377 8:0.646433 9:0.500353 10:-0.186295 11:-0.128522 12:-0.47963 13:-0.069229
1:-0.507287 2:-0.681573 3:0.145149 4:-0.451044 5:-0.168062 6:-0.518635 7:-0.337858 8:0.70392 9:0.414621 10:-0.112753 11:-0.038183 12:-0.430445 13:-0.080088
1:-0.355895 2:-0.556066 3:0.006556 4:-0.369955 5:-0.11079 6:-0.516761 7:-0.346421 8:0.719278 9:0.259049 10:0.003717 11:0.092851 12:-0.338383 13:-0.075246
1:-0.173381 2:-0.383061 3:-0.147557 4:-0.252087 5:-0.044435 6:-0.472362 7:-0.317523 8:0.681301 9:0.065162 10:0.132758 11:0.231741 12:-0.219394 13:-0.067955
1:0.005858 2:-0.203546 3:-0.279364 4:-0.134316 5:0.017926 6:-0.403283 7:-0.278396 8:0.601013 9:-0.125816 10:0.245898 11:0.341559 12:-0.094512 13:-0.053274
